participant_id,study
INVARFFL46V,BSNIP1
INV3VAME6FN,BSNIP1
INVTPFR83TF,BSNIP1
INVHWR4P7V1,BSNIP1
INVL9RKNJ4P,BSNIP1
INVJTZPYAM5,BSNIP1
INVECGL3MU5,BSNIP1
INV5UY15NYU,BSNIP1
INV8975Y3UU,BSNIP1
INVXCTE78GF,BSNIP1
INVZVZDT24E,BSNIP1
INVJWVCT4N0,BSNIP1
INVK44DKMFJ,BSNIP1
INVGZKGKVF4,BSNIP1
INVTYA4JNW2,BSNIP1
INV7VJB9UG1,BSNIP1
INV15Y53D2L,BSNIP1
INVKLV0MKWJ,BSNIP1
INVTM4YFJAT,BSNIP1
INVJ85655K6,BSNIP1
INVT2UANT9K,BSNIP1
INVVK17Y3YB,BSNIP1
INVR45PRXZB,BSNIP1
INVMR55PUG0,BSNIP1
INVEB9HU04J,BSNIP1
INVJL7H13LW,BSNIP1
INVVPP4WBUC,BSNIP1
INV49R18BG7,BSNIP1
INVW3C7K72N,BSNIP1
INVNGJHRRK0,BSNIP1
INVXR8L3WRZ,BSNIP1
INV2JB1Y8WY,BSNIP1
INVXL6GEWC9,BSNIP1
INVCNER7NYG,BSNIP1
INV3VFZL1NE,BSNIP1
INVAJV2ATNA,BSNIP1
INVYCUE7YC6,BSNIP1
INV51RRJCLF,BSNIP1
INVHPZX6EFR,BSNIP1
INVG18GZFTA,BSNIP1
INVF6ZDPYYC,BSNIP1
INV812KJU3M,BSNIP1
INV5XA7G6NY,BSNIP1
INVXGRN6YP3,BSNIP1
INV8KMVGXTY,BSNIP1
INVKJNGCC28,BSNIP1
INVJFWJE0F2,BSNIP1
INVCXAD0KCF,BSNIP1
INVYENZW0P7,BSNIP1
INV0NZ2AJ6W,BSNIP1
INVR8VG8B5Y,BSNIP1
INVBUPFT77T,BSNIP1
INVD5N03V0U,BSNIP1
INVJVX4EMB8,BSNIP1
INV6T5U9DNA,BSNIP1
INV1HXNTXYF,BSNIP1
INVBM5UZ65A,BSNIP1
INVFKNTFGU4,BSNIP1
INV2BPYG832,BSNIP1
INVCR19ZHDF,BSNIP1
INV9MTEG2LX,BSNIP1
INVYWBU04VG,BSNIP1
INVM3KPDYD6,BSNIP1
INVN1JAH3UC,BSNIP1
INV8E40CF4H,BSNIP1
INVCCCW7FUW,BSNIP1
INV5TDTH4X9,BSNIP1
INVBFA5CPXU,BSNIP1
INVC7ZELNTD,BSNIP1
INV6NYR91TX,BSNIP1
INVU1L1V9ZF,BSNIP1
INV2EEARPKW,BSNIP1
INVLGL63EN4,BSNIP1
INV8CD2KB5T,BSNIP1
INVC9403APC,BSNIP1
INVKX6FC46M,BSNIP1
INVGA0XJULZ,BSNIP1
INVT4F1FF0Z,BSNIP1
INVPPGN6A8A,BSNIP1
INVUA344ELV,BSNIP1
INVGGLFM3Z3,BSNIP1
INVMH8XR79V,BSNIP1
INV09TTKEXG,BSNIP1
INVLRCTBTZL,BSNIP1
INV32Z02GRZ,BSNIP1
INV1Y58RCD1,BSNIP1
INVPHH2K72K,BSNIP1
INV9XVG94Y6,BSNIP1
INVJ1PB0NMM,BSNIP1
INVFVC19T3D,BSNIP1
INVWJ3ZZMN9,BSNIP1
INV2U5EM36E,BSNIP1
INVVR6DX9N6,BSNIP1
INV1AE67HC0,BSNIP1
INVKY1HYRJZ,BSNIP1
INVEZ1KVC85,BSNIP1
INVDHXN8BUK,BSNIP1
INVHRWZZDB3,BSNIP1
INVZD1334A6,BSNIP1
INVK0AB9Z4X,BSNIP1
INV2FNT3BRF,BSNIP1
INV5U7LZPLA,BSNIP1
INVF4BU9BLR,BSNIP1
INVRFUG8EG6,BSNIP1
INV11LD79PN,BSNIP1
INV5WWWE7HL,BSNIP1
INVC1P26E98,BSNIP1
INVP3UVY2T5,BSNIP1
INVMH0YE6B8,BSNIP1
INVBMGW8MDK,BSNIP1
INV2WYECD9K,BSNIP1
INVCHTNF7UX,BSNIP1
INVBATDPRHG,BSNIP1
INVCEH8T2K6,BSNIP1
INVV1L6JGT3,BSNIP1
INVNXC23FHD,BSNIP1
INV41E1WMVM,BSNIP1
INVTPDL3FHD,BSNIP1
INVEAXEDFUC,BSNIP1
INV71DN3VUY,BSNIP1
INV8ZKABZRN,BSNIP1
INVN6PXWCMT,BSNIP1
INVZBW8CC34,BSNIP1
INVX3AK57MP,BSNIP1
INV5WFNEU0F,BSNIP1
INVAJ8L9KUD,BSNIP1
INVBZ0TJ7UP,BSNIP1
INVDDT35FBU,BSNIP1
INV9TJ6XL0F,BSNIP1
INVRPTZA7RY,BSNIP1
INVUBMXEB2Y,BSNIP1
INVMZYBBHNL,BSNIP1
INVX1GAW8V6,BSNIP1
INV7FWTR9EM,BSNIP1
INVGFFH11XR,BSNIP1
INV027JRF0P,BSNIP1
INVTD2Y72EW,BSNIP1
INVFC3Y55UU,BSNIP1
INVRK8B69VU,BSNIP1
INVJE0M6DCL,BSNIP1
INVLM0PXNDE,BSNIP1
INVXBEVN2KT,BSNIP1
INVHLW34HYR,BSNIP1
INV8E62WHVE,BSNIP1
INVAMB1NBBH,BSNIP1
INVKMHU5AW2,BSNIP1
INV6W32793C,BSNIP1
INVNJBUTMJN,BSNIP1
INV5DK98BXL,BSNIP1
INVUA4B4DLE,BSNIP1
INV2E32DE6B,BSNIP1
INVAUGTHUC7,BSNIP1
INVBP32ZCLZ,BSNIP1
INVV1TBAW8A,BSNIP1
INV0PHJ7BTW,BSNIP1
INV3WWL2XEH,BSNIP1
INV4ZP53J51,BSNIP1
INVTBJ05BE8,BSNIP1
INVE0X2V0GZ,BSNIP1
INVVC9DLH8U,BSNIP1
INVWDV44ABX,BSNIP1
INV96E5JZ7C,BSNIP1
INVYFYAL2U1,BSNIP1
INVARCDH29V,BSNIP1
INVWMNPR4PC,BSNIP1
INVGH4ZRZ2U,BSNIP1
INVRMJHYMN4,BSNIP1
INVCVMMHNMV,BSNIP1
INVHF70XTFE,BSNIP1
INV6A5TUB4A,BSNIP1
INVGDZUTBDU,BSNIP1
INVARMN3MDC,BSNIP1
INV1MC17JLN,BSNIP1
INVBVRD96YL,BSNIP1
INV8ECRJ6TJ,BSNIP1
INV0L39FTB8,BSNIP1
INV5V11KD2W,BSNIP1
INVE9LTGPZC,BSNIP1
INVK4HB8HEX,BSNIP1
INVKW9D1PX4,BSNIP1
INVY29A0Z0L,BSNIP1
INVLCN76523,BSNIP1
INVUFYZ6BND,BSNIP1
INVMPX1KM42,BSNIP1
INV8H2L313T,BSNIP1
INVA3W1GBVK,BSNIP1
INVAF1CGUTG,BSNIP1
INV9AX4562E,BSNIP1
INV32MHXGCY,BSNIP1
INVE7VH3PXM,BSNIP1
INVU6615CZX,BSNIP1
INVJ7GBZ7ND,BSNIP1
INV8H2FPFKB,BSNIP1
INVN8P57WRW,BSNIP1
INVNFXWJ839,BSNIP1
INV48EAGJ39,BSNIP1
INV9C65L1XA,BSNIP1
INV2ZMHWNKA,BSNIP1
INVWLRENKFL,BSNIP1
INVW55MU8D2,BSNIP1
INV75JJ8U79,BSNIP1
INV72530YM1,BSNIP1
INVJ0Z3JZGF,BSNIP1
INVCLT9DK2W,BSNIP1
INVH170JGEK,BSNIP1
INVWE958EAU,BSNIP1
INVX891KJF9,BSNIP1
INVR9H9CGHM,BSNIP1
INV69TL2UF5,BSNIP1
INV7PN5J29U,BSNIP1
INVVZWTT5D1,BSNIP1
INVRB1F3MW7,BSNIP1
INVLAYCVAWG,BSNIP1
INV8CXXU2RH,BSNIP1
INVWMBUFC6Y,BSNIP1
INVWFWV3C1H,BSNIP1
INV5XGJ4PZA,BSNIP1
INV6MG0MA3E,BSNIP1
INVUYJ6BDA4,BSNIP1
INVYF12NKWH,BSNIP1
INV7V2ACR47,BSNIP1
INVYB527HA7,BSNIP1
INVCT3V0VCF,BSNIP1
INVP7MF6UPB,BSNIP1
INV5H011F3X,BSNIP1
INVAK300M4G,BSNIP1
INVGT3HTH4G,BSNIP1
INV5NUN23CN,BSNIP1
INV85VZYDRM,BSNIP1
INVKWC22FGA,BSNIP1
INVV5Y9NBUG,BSNIP1
INV27G4X8HP,BSNIP1
INV8RFEMPC8,BSNIP1
INVYNFLVFKH,BSNIP1
INV8F04MZ4Y,BSNIP1
INV4XEEDHFH,BSNIP1
INVWC0E4605,BSNIP1
INVR93D8BYY,BSNIP1
INV7U2A6KF9,BSNIP1
INVF1YAKN3D,BSNIP1
INV611RF9HY,BSNIP1
INVP8KCV0WC,BSNIP1
INV3UPCE886,BSNIP1
INV47EVTF68,BSNIP1
INV9NRFY821,BSNIP1
INV1ZZGAK86,BSNIP1
INVCCVH7VMJ,BSNIP1
INVBZGWP7AG,BSNIP1
INVFPH444YF,BSNIP1
INVBMJNWHND,BSNIP1
INVBX6FVFRG,BSNIP1
INVZ23C313X,BSNIP1
INVA6E2UNV2,BSNIP1
INVKMZW3TZJ,BSNIP1
INVM0H9UC11,BSNIP1
INVDTH6AXHA,BSNIP1
INV8BRF20ZY,BSNIP1
INVXN6ZM5VH,BSNIP1
INVEPU530X9,BSNIP1
INV65MBF5YK,BSNIP1
INV0H6CU3DH,BSNIP1
INVRX9WUF6M,BSNIP1
INV5803TA7G,BSNIP1
INVCKKWW1BH,BSNIP1
INV5PWCRR2C,BSNIP1
INVF5B8HDR4,BSNIP1
INVKYLMNMHN,BSNIP1
INV8DVCNM0U,BSNIP1
INV4FRH8AGB,BSNIP1
INVD9UW0GA5,BSNIP1
INV0PPF7FXZ,BSNIP1
INVH2966CF1,BSNIP1
INVY8VZ6NLL,BSNIP1
INV5EFE93NB,BSNIP1
INVFRPLVK85,BSNIP1
INVRX9ZZTK3,BSNIP1
INVRW1B56J1,BSNIP1
INVYH57DNZU,BSNIP1
INVLZNDNZJA,BSNIP1
INVL045HEHN,BSNIP1
INVAMUZFD5D,BSNIP1
INV1UZC0ZPJ,BSNIP1
INV7ACRD6KL,BSNIP1
INVMND5D45T,BSNIP1
INVZL5AW4AP,BSNIP1
INVRDADA56X,BSNIP1
INVKAXDZY0L,BSNIP1
INVMP60WZ0K,BSNIP1
INV44M03ZL5,BSNIP1
INV2M5HYUT8,BSNIP1
INV2FLGWBVV,BSNIP1
INVJB92GRL2,BSNIP1
INV4VT0BXNL,BSNIP1
INVAW0U9MZ5,BSNIP1
INVL85D03YE,BSNIP1
INVJ677FK5G,BSNIP1
INV5D4V7EVE,BSNIP1
INVY84FXW74,BSNIP1
INVNBZ5W5RZ,BSNIP1
INVX0BZPV85,BSNIP1
INV9HDD5FNK,BSNIP1
INV73LCFGEZ,BSNIP1
INV1YZZXEWF,BSNIP1
INVDANM9H74,BSNIP1
INV54D9JEGF,BSNIP1
INVNWFENL9J,BSNIP1
INV82B7T2CC,BSNIP1
INVJC773U9P,BSNIP1
INV2LR63NG1,BSNIP1
INV1W6YK7WR,BSNIP1
INV23XFB3ZA,BSNIP1
INVYU1VDD14,BSNIP1
INVV10T384V,BSNIP1
INV49VM3VZG,BSNIP1
INV55WRBHP3,BSNIP1
INVDPWTWK22,BSNIP1
INV8VGVZ2D5,BSNIP1
INVDR0RV0W3,BSNIP1
INV22KFTD88,BSNIP1
INVG2C8B8DW,BSNIP1
INVY85MKFDE,BSNIP1
INVMRD83TEC,BSNIP1
INVM7ZZPBL8,BSNIP1
INV7DL3EL0P,BSNIP1
INVW9A4D72F,BSNIP1
INVMTVP9EBX,BSNIP1
INVCF2AVB6T,BSNIP1
INV57KXWH5L,BSNIP1
INV78W4AJGB,BSNIP1
INVDZ8MTLM2,BSNIP1
INVUZNG7PJ0,BSNIP1
INV5T2FPT5D,BSNIP1
INVCDD7RUMC,BSNIP1
INVU4EUGVF3,BSNIP1
INVYYJRTREA,BSNIP1
INV132W9267,BSNIP1
INVAGF7DWWN,BSNIP1
INVGBXTRJBD,BSNIP1
INV17T0KUU8,BSNIP1
INV8EEL0E32,BSNIP1
INVPHW58BW0,BSNIP1
INVNXJR9U38,BSNIP1
INVM0LFAATB,BSNIP1
INVL2D3J3RA,BSNIP1
INVKWKAFHMG,BSNIP1
INVUDBY0P98,BSNIP1
INV6DXEJ84Z,BSNIP1
INV7R8TPHEH,BSNIP1
INVBAF533N8,BSNIP1
INVWKGVPGP7,BSNIP1
INVZRHZHE75,BSNIP1
INVHF03UF3L,BSNIP1
INV72K6DKUY,BSNIP1
INVMFFR8EN6,BSNIP1
INVH0JKNJV8,BSNIP1
INVR1X1BJXH,BSNIP1
INV4Y2HBLN2,BSNIP1
INV7JB6WYCL,BSNIP1
INVFXG2YAXM,BSNIP1
INVV5XMNDV4,BSNIP1
INVTTXHFA83,BSNIP1
INVEVN92PMJ,BSNIP1
INV8Z063JA1,BSNIP1
INVUF2X6E91,BSNIP1
INVJPTKH2PV,BSNIP1
INV1UGL9XYP,BSNIP1
INV8317L2EY,BSNIP1
INVD9PHPXP1,BSNIP1
INVBGFWLRX0,BSNIP1
INV95JFLU47,BSNIP1
INVKRJHTU6E,BSNIP1
INV3UWYM6LH,BSNIP1
INV7MXP1NG3,BSNIP1
INVX4T5ZXK2,BSNIP1
INV4YMNL9AX,BSNIP1
INV3XHCN2GH,BSNIP1
INVAEE3KFZ8,BSNIP1
INVK36ZPT3B,BSNIP1
INVUTU4J7TC,BSNIP1
INVAYNGYD5U,BSNIP1
INV9X5CVC5Y,BSNIP1
INVXNDFGZB3,BSNIP1
INVGH3M5AHU,BSNIP1
INV6B4W1BDT,BSNIP1
INVN5VAXCK4,BSNIP1
INVFHJ5UTBN,BSNIP1
INV0UCW6PWZ,BSNIP1
INV77JBGWZY,BSNIP1
INVR3WTHX9T,BSNIP1
INV2V137N14,BSNIP1
INV4AA7CCGL,BSNIP1
INVMCFMDKE4,BSNIP1
INVJYLL2VW1,BSNIP1
INVAPHKLMDP,BSNIP1
INVYXC8YXFW,BSNIP1
INVVB14LLNJ,BSNIP1
INV1EP7FFT6,BSNIP1
INVWAW96MH5,BSNIP1
INVBHRLWG33,BSNIP1
INV10CD6EBR,BSNIP1
INVJEK89D0H,BSNIP1
INVF45D715C,BSNIP1
INVUCDEMTLL,BSNIP1
INVWCK9FDZX,BSNIP1
INVT9171H6E,BSNIP1
INVJUJ8DW2N,BSNIP1
INVM84ZW8T6,BSNIP1
INVHJ9HUCA5,BSNIP1
INVNEW5BPVL,BSNIP1
INV7LYBFR8T,BSNIP1
INVZ5LCNN27,BSNIP1
INVJ4J5A248,BSNIP1
INVBG6KL0PR,BSNIP1
INV5GA0NPX1,BSNIP1
INVYRLXKFRP,BSNIP1
INVWJN9JW0W,BSNIP1
INVHUCYP2L9,BSNIP1
INVNADMV8ZE,BSNIP1
INV37YHGHET,BSNIP1
INV81B5RFBR,BSNIP1
INV8TAB1G3H,BSNIP1
INVZWA8D8B2,BSNIP1
INVL9Z8JRHH,BSNIP1
INVF18PX3WY,BSNIP1
INV6WBVYB8F,BSNIP1
INV8EK8G8UN,BSNIP1
INVMX5CTMAP,BSNIP1
INVJ1LYFBEX,BSNIP1
INVV7YCFDT9,BSNIP1
INV4H0BR1EP,BSNIP1
INVW1PWHTEK,BSNIP1
INV2VEA6421,BSNIP1
INV4XLJHK2L,BSNIP1
INVGVXJ5GHY,BSNIP1
INVBEKLL87A,BSNIP1
INVPYBW8Z95,BSNIP1
INV880WRXBM,BSNIP1
INVPLXBLCEN,BSNIP1
INV5TDWKYD8,BSNIP1
INVEL57K1YW,BSNIP1
INV1XCNF4J5,BSNIP1
INVPYDGRHPX,BSNIP1
INV4URDJMNH,BSNIP1
INVZEB213F6,BSNIP1
INVMKYCVU2A,BSNIP1
INVAMJMEGKN,BSNIP1
INVKP7DWC5J,BSNIP1
INVUY9EBJ2X,BSNIP1
INVXNL0X68X,BSNIP1
INVJXJC4Y0Y,BSNIP1
INVJ032M12V,BSNIP1
INVH6CCYYHC,BSNIP1
INV75NLEMU2,BSNIP1
INVZ02T1GHE,BSNIP1
INVWRLFV1GG,BSNIP1
INV0P6J42E2,BSNIP1
INVBX6Y1PZW,BSNIP1
INVHTYNRZH0,BSNIP1
INVBFAZF3T6,BSNIP1
INVTFMLA6TH,BSNIP1
INV442NYCYT,BSNIP1
INVVPR7PEHW,BSNIP1
INV5M49FXV2,BSNIP1
INV0G5RXTCC,BSNIP1
INVZTBFRT07,BSNIP1
INV3M9H05M8,BSNIP1
INV55KY3YYJ,BSNIP1
INVJVKLJP7H,BSNIP1
INVFP0RDBAT,BSNIP1
INVRLJULMXV,BSNIP1
INV9X2EA0CR,BSNIP1
INV8BR1WGXN,BSNIP1
INVTNH6BJVG,BSNIP1
INVET1RDAWC,BSNIP1
INVVBU9KBXL,BSNIP1
INVKMTK12F8,BSNIP1
INVZ51UXU70,BSNIP1
INVXTMFWUFC,BSNIP1
INV9Z14YECR,BSNIP1
INV4NJ3U1EF,BSNIP1
INVCVDNU7H0,BSNIP1
INV14XK7P6E,BSNIP1
INV7YWAWPRA,BSNIP1
INVM7T5DWTC,BSNIP1
INV2AGFY4E3,BSNIP1
INVYAVA193A,BSNIP1
INV6CH6YU04,BSNIP1
INV4N8J75R7,BSNIP1
INVPL1A3KJH,BSNIP1
INV1PJ3KJPH,BSNIP1
INVMMT9LVXG,BSNIP1
INVAYCUFVUL,BSNIP1
INVX1B5BLKJ,BSNIP1
INVYC1FK6KP,BSNIP1
INVBPXNY30W,BSNIP1
INVC4ZT9Z1T,BSNIP1
INV4R68BPH9,BSNIP1
INVYVX1XKH3,BSNIP1
INV0TX86BZC,BSNIP1
INVVPW3T1AV,BSNIP1
INVWE6UTF96,BSNIP1
INVEAWZJ9C3,BSNIP1
INVPX9D7DX2,BSNIP1
INV80RD6NKC,BSNIP1
INVFHD1KJ23,BSNIP1
10704,CNP
10339,CNP
50054,CNP
60070,CNP
60087,CNP
50069,CNP
10963,CNP
50022,CNP
10934,CNP
10527,CNP
60089,CNP
60056,CNP
10365,CNP
50020,CNP
50083,CNP
11097,CNP
11030,CNP
50075,CNP
50007,CNP
10388,CNP
60005,CNP
70070,CNP
10290,CNP
10949,CNP
11108,CNP
60046,CNP
10506,CNP
60033,CNP
60012,CNP
70068,CNP
50015,CNP
11050,CNP
10273,CNP
10565,CNP
10638,CNP
50038,CNP
50067,CNP
10672,CNP
10785,CNP
11105,CNP
50056,CNP
50025,CNP
60022,CNP
50014,CNP
10668,CNP
50033,CNP
60077,CNP
10345,CNP
10631,CNP
70077,CNP
70069,CNP
50066,CNP
10325,CNP
10517,CNP
60010,CNP
70075,CNP
70065,CNP
50059,CNP
50013,CNP
60001,CNP
10280,CNP
70046,CNP
11019,CNP
10871,CNP
60016,CNP
70033,CNP
70052,CNP
10692,CNP
10958,CNP
60038,CNP
60084,CNP
10525,CNP
70022,CNP
50080,CNP
10678,CNP
50050,CNP
60052,CNP
10746,CNP
50064,CNP
60015,CNP
70086,CNP
10975,CNP
50076,CNP
10206,CNP
11128,CNP
10707,CNP
60028,CNP
10269,CNP
11077,CNP
60030,CNP
50073,CNP
10316,CNP
11052,CNP
50058,CNP
70029,CNP
70001,CNP
11082,CNP
70060,CNP
70058,CNP
60080,CNP
10788,CNP
60079,CNP
50053,CNP
10189,CNP
70015,CNP
10524,CNP
11088,CNP
50034,CNP
70017,CNP
11131,CNP
60042,CNP
10882,CNP
11044,CNP
70072,CNP
11061,CNP
10329,CNP
70079,CNP
11068,CNP
60037,CNP
70020,CNP
60006,CNP
10440,CNP
11098,CNP
60053,CNP
10968,CNP
50004,CNP
70049,CNP
70076,CNP
70026,CNP
50035,CNP
60057,CNP
50005,CNP
10708,CNP
60051,CNP
60074,CNP
10998,CNP
70040,CNP
10523,CNP
70007,CNP
10347,CNP
70037,CNP
60076,CNP
50010,CNP
60073,CNP
10624,CNP
10893,CNP
60048,CNP
10530,CNP
60011,CNP
10171,CNP
50043,CNP
50077,CNP
11104,CNP
10570,CNP
11142,CNP
11149,CNP
50036,CNP
10471,CNP
50055,CNP
10575,CNP
50061,CNP
60072,CNP
60062,CNP
60017,CNP
10891,CNP
10487,CNP
10274,CNP
10217,CNP
10877,CNP
70021,CNP
70010,CNP
10686,CNP
10429,CNP
60043,CNP
10697,CNP
11090,CNP
60055,CNP
10356,CNP
10304,CNP
60068,CNP
11066,CNP
11067,CNP
10340,CNP
10844,CNP
10719,CNP
60014,CNP
10977,CNP
60020,CNP
10249,CNP
70081,CNP
50027,CNP
10438,CNP
10271,CNP
10779,CNP
50021,CNP
10478,CNP
50081,CNP
60065,CNP
10448,CNP
10680,CNP
50047,CNP
11112,CNP
10912,CNP
10460,CNP
10948,CNP
50049,CNP
70074,CNP
50085,CNP
50023,CNP
10492,CNP
60008,CNP
50060,CNP
70004,CNP
10762,CNP
10292,CNP
11122,CNP
60036,CNP
10361,CNP
70080,CNP
50048,CNP
60049,CNP
11059,CNP
11106,CNP
70034,CNP
70057,CNP
10455,CNP
50016,CNP
10235,CNP
70051,CNP
50008,CNP
10227,CNP
60045,CNP
70073,CNP
50051,CNP
10940,CNP
60078,CNP
50032,CNP
10855,CNP
10724,CNP
11156,CNP
10321,CNP
10629,CNP
10987,CNP
50052,CNP
70061,CNP
70083,CNP
10193,CNP
10228,CNP
60060,CNP
50029,CNP
70048,CNP
70055,CNP
11143,CNP
10674,CNP
10557,CNP
10376,CNP
60066,CNP
10696,CNP
10225,CNP
60021,CNP
50006,CNP
SS103,CANDI
HC027,CANDI
BPDwPsy071,CANDI
BPDwoPsy043,CANDI
BPDwoPsy047,CANDI
SS089,CANDI
HC023,CANDI
BPDwoPsy045,CANDI
SS088,CANDI
BPDwoPsy039,CANDI
BPDwPsy072,CANDI
BPDwoPsy030,CANDI
SS084,CANDI
SS094,CANDI
HC026,CANDI
SS092,CANDI
BPDwPsy080,CANDI
HC025,CANDI
BPDwPsy083,CANDI
SS091,CANDI
BPDwPsy066,CANDI
BPDwoPsy062,CANDI
BPDwoPsy064,CANDI
BPDwoPsy037,CANDI
SS095,CANDI
BPDwoPsy049,CANDI
BPDwPsy070,CANDI
HC005,CANDI
HC018,CANDI
BPDwoPsy032,CANDI
HC029,CANDI
HC006,CANDI
BPDwPsy069,CANDI
BPDwoPsy042,CANDI
BPDwPsy082,CANDI
HC019,CANDI
HC011,CANDI
BPDwPsy079,CANDI
BPDwoPsy060,CANDI
BPDwPsy074,CANDI
SS096,CANDI
SS097,CANDI
BPDwPsy077,CANDI
BPDwPsy075,CANDI
HC015,CANDI
HC017,CANDI
BPDwPsy073,CANDI
BPDwPsy078,CANDI
HC024,CANDI
BPDwoPsy046,CANDI
HC020,CANDI
BPDwoPsy061,CANDI
BPDwoPsy050,CANDI
HC028,CANDI
BPDwoPsy048,CANDI
SS090,CANDI
BPDwoPsy035,CANDI
BPDwPsy081,CANDI
HC021,CANDI
SS085,CANDI
SS086,CANDI
HC009,CANDI
BPDwoPsy054,CANDI
BPDwoPsy044,CANDI
BPDwoPsy051,CANDI
SS101,CANDI
BPDwPsy067,CANDI
HC008,CANDI
SS102,CANDI
HC016,CANDI
HC013,CANDI
BPDwoPsy057,CANDI
BPDwoPsy053,CANDI
BPDwPsy065,CANDI
BPDwoPsy033,CANDI
BPDwoPsy052,CANDI
BPDwoPsy031,CANDI
BPDwoPsy038,CANDI
SS087,CANDI
BPDwPsy076,CANDI
HC002,CANDI
SS093,CANDI
SS100,CANDI
SS099,CANDI
BPDwoPsy063,CANDI
HC012,CANDI
BPDwPsy068,CANDI
BPDwoPsy034,CANDI
HC010,CANDI
BPDwoPsy056,CANDI
BPDwoPsy040,CANDI
HC001,CANDI
BPDwoPsy059,CANDI
BPDwoPsy058,CANDI
HC014,CANDI
BPDwoPsy036,CANDI
BPDwoPsy041,CANDI
